TweetNo,Label,Target,Topic,Phrase,TweetText,clean_text,label
2512,NOT,,,,@BenCaspit טריק של הנאשם לשרוף כמה עשרות (?) אלפי קולות שרוצים שינוי.,טריק של הנאשם לשרוף כמה עשרות אלפי קולות שרוצים שינוי,0
2513,NOT,,,,@barzik מעניין. אני אגב בספק אם גופי ביטחון שמעוניינים לעקוב בעיקר אחרי טרור בדארקנט (ולאחרונה בקורונה גם קצת אחרי אזרחים רגילים) לא הכניסו כבר כמות יפה שכזו כך שיוכלו לזהות תנועה גם בtor..,מעניין אני אגב בספק אם גופי ביטחון שמעוניינים לעקוב בעיקר אחרי טרור בדארקנט ולאחרונה בקורונה גם קצת אחרי אזרחים רגילים לא הכניסו כבר כמות יפה שכזו כך שיוכלו לזהות תנועה גם ב,0
2514,NOT,,,,"@daddyaarca @youreoncbs @ItaloChiguire קודם כל, מהי פלסטין?",קודם כל מהי פלסטין,0
2515,NOT,,,,@Likud_Party הזקנה במסדרונות בית החולים הזקנה במגרש החניה מפלגת טינפות חלאות המין האנושי אל תשכחו זבלים 3 כדורים החליפו שלטון בעקבות הסתה פושעת שניהל נגד רבין הארכי מסית בעזרתם של רבני ישע פשע רשע וחילהם נבלות החזיר עם הכיפות הסרוחות ימח שמם וזכר זכרם https://t.co/XffKDDfmYj,הזקנה במסדרונות בית החולים הזקנה במגרש החניה מפלגת טינפות חלאות המין האנושי אל תשכחו זבלים כדורים החליפו שלטון בעקבות הסתה פושעת שניהל נגד רבין הארכי מסית בעזרתם של רבני ישע פשע רשע וחילהם נבלות החזיר עם הכיפות הסרוחות ימח שמם וזכר זכרם,0
2516,NOT,,,,@GalonItay אז כל ילד ערבי שזורק אבנים או בקתבים על גיפ צהל דינו מוות ? זה מיותר וזה מיותר,אז כל ילד ערבי שזורק אבנים או בקתבים על גיפ צהל דינו מוות זה מיותר וזה מיותר,0
2517,NOT,,,,"@benny_wol מחבל (יהודי, ערבי, קונגולזי או בקיצור כ״א) שיוצא לפגע, ולא משנה אם הוא עושה את זה עם אבן, אקדח, בקת״ב או גוגו, שייקח בחשבון שזה יכול להיות סופו. פשוט לא?",מחבל יהודי ערבי קונגולזי או בקיצור כ״א שיוצא לפגע ולא משנה אם הוא עושה את זה עם אבן אקדח בקת״ב או גוגו שייקח בחשבון שזה יכול להיות סופו פשוט לא,0
2518,NOT,,,,@YosephHaddad @arisade94 @idanlandau לנדאו פנה כל כך שמאלה שאנשי חמאס כבר מתנערים ממנו כקיצוני מדי,לנדאו פנה כל כך שמאלה שאנשי חמאס כבר מתנערים ממנו כקיצוני מדי,0
2519,NOT,,,,"@yotameyal אולי תתפלא, אבל אתמול נערכה הפגנה מול ביתו של אחד השוטרים, במעלה אדומים. בני הנוער שהפגינו ברחוב קראו ""א' רוצח ילדים"". עם יד על הלב - הוא ובני משפחתו יכולים לצאת בשלווה מביתם?",אולי תתפלא אבל אתמול נערכה הפגנה מול ביתו של אחד השוטרים במעלה אדומים בני הנוער שהפגינו ברחוב קראו א רוצח ילדים עם יד על הלב הוא ובני משפחתו יכולים לצאת בשלווה מביתם,0
2520,violence,palestinians,terrorism,פיגוע,"פרסום ראשון: הרש""פ סיכלה פיגוע דקירה נגד חיילים. מקורות פלסטינים מסרו ל-@kann_news כי מנגנוני הרשות עצרו שלשום 2 פלסטיניות משכם שהיו בדרכן לדקור חיילים/מתנחלים באזור חווארה שמדרום לשכם. הן בחקירה כעת בצד הפלסטיני. הסיכול התרחש לאחר שבחודש שעבר חודש התיאום הביטחוני בין ישראל לרשות",פרסום ראשון הרשפ סיכלה פיגוע דקירה נגד חיילים מקורות פלסטינים מסרו ל כי מנגנוני הרשות עצרו שלשום פלסטיניות משכם שהיו בדרכן לדקור חייליםמתנחלים באזור חווארה שמדרום לשכם הן בחקירה כעת בצד הפלסטיני הסיכול התרחש לאחר שבחודש שעבר חודש התיאום הביטחוני בין ישראל לרשות,1
2521,NOT,,,,"הפיתוחים החדשים שישמשו את צה""ל נגד ארגוני הטרור: בעוד ארגונים כמו חמאס וחיזבאללה שכללו את יכולותיהם בעזרת מערכות שהגיעו לשוק האזרחי, בצה""ל פועלים להטמיע טכנולוגיות מתקדמות שיאפשרו קישוריות בין זרועות הצבא. הפרויקטים שיאפשרו לצבא להיערך למלחמה הבאה https://t.co/mrhxB9yhDK",הפיתוחים החדשים שישמשו את צהל נגד ארגוני הטרור בעוד ארגונים כמו חמאס וחיזבאללה שכללו את יכולותיהם בעזרת מערכות שהגיעו לשוק האזרחי בצהל פועלים להטמיע טכנולוגיות מתקדמות שיאפשרו קישוריות בין זרועות הצבא הפרויקטים שיאפשרו לצבא להיערך למלחמה הבאה,0
2522,NOT,,,,"@jonklinger @barzik א. אתה לא יודע שהוא לא שומר לוגים ב. אם נקודת היציאה קבועה והתעבורה הגלויה שם גלויה למישהו, לא מאוד קשה בדרך כלל לקשור בסבירות גבוהה את התעבורה אליך. למשתמש המצוי זה לא ממש משנה כי *אבל* זה מנרמל שימוש ב- Tor שזה חשוב ביום שתהפך להיות מתנגד משטר סמולן עוכר ישראל בוגד המדינה",א אתה לא יודע שהוא לא שומר לוגים ב אם נקודת היציאה קבועה והתעבורה הגלויה שם גלויה למישהו לא מאוד קשה בדרך כלל לקשור בסבירות גבוהה את התעבורה אליך למשתמש המצוי זה לא ממש משנה כי אבל זה מנרמל שימוש ב שזה חשוב ביום שתהפך להיות מתנגד משטר סמולן עוכר ישראל בוגד המדינה,0
2523,NOT,,,,סרטון של זונה מחופשת לשוטרת מ@IL_police מכה כמו חיה עמלקית יהודי חרדי נראה שהסרטונים האלה לא מרגשים את הדחליל הממונה @AmirOhana אז אני אומר לך דמם על ידך ימח שמך למי שיש את הפרטים של הטינופת *מצווה לפרסם בכל מקום* https://t.co/0kjocClvlJ,סרטון של זונה מחופשת לשוטרת מ מכה כמו חיה עמלקית יהודי חרדי נראה שהסרטונים האלה לא מרגשים את הדחליל הממונה אז אני אומר לך דמם על ידך ימח שמך למי שיש את הפרטים של הטינופת מצווה לפרסם בכל מקום,0
2524,NOT,,,,"ארבעת יושבי הרכב שבו נסע אהוביה סנדק נחקרו היום למעלה משמונה שעות במשטרה. שניים מהם שוחררו כבר בשישי. הם חשודים ביידוי אבנים לעבר רכב פלסטיני, ובגרימת מותו של אהוביה ברשלנות",ארבעת יושבי הרכב שבו נסע אהוביה סנדק נחקרו היום למעלה משמונה שעות במשטרה שניים מהם שוחררו כבר בשישי הם חשודים ביידוי אבנים לעבר רכב פלסטיני ובגרימת מותו של אהוביה ברשלנות,0
2525,NOT,,,,איילה חסון עושה פיגוע לסער. שמו אותו בראיון בלובי של איזשהוא מקום עם רקע נוראי.....איזה היועץ תקשורת שלו???,איילה חסון עושה פיגוע לסער שמו אותו בראיון בלובי של איזשהוא מקום עם רקע נוראיאיזה היועץ תקשורת שלו,0
2526,NOT,,,,@Liem_tpwk א. הם לא נראלי עדיין חברים ב. היא אובססיבית לאיזה פסיכופט אחד שיש עליו סדרת ספרים והוא גם אנטישמי והתחפשה לאשה שהיא אחת מהקורבנות שלו וגם היא אמרה נראלי דברים גזעניים כמה פעמיים,א הם לא נראלי עדיין חברים ב היא אובססיבית לאיזה פסיכופט אחד שיש עליו סדרת ספרים והוא גם אנטישמי והתחפשה לאשה שהיא אחת מהקורבנות שלו וגם היא אמרה נראלי דברים גזעניים כמה פעמיים,0
2527,NOT,,,,"@michael_dvorin פשיזם, תתרגל, אתה לא יריב פוליטי, אתה אויב המשטר, עכשיו דמיין איך יראו החיים שלך אם הם ינצחו בבחירות. רק ליכוד 50",פשיזם תתרגל אתה לא יריב פוליטי אתה אויב המשטר עכשיו דמיין איך יראו החיים שלך אם הם ינצחו בבחירות רק ליכוד,0
2528,NOT,,,,"@arutz20 בושה וחרפה זו מפלגה שפוגעת במדינת ישראל השם כחול לבן לא מתאים לה ,ירוק של חמאס יותר מתאים להם. אין גבול ,משחקים בבריאות הציבור דנץ לל הביתה לא צריך להרוס הכל סגלל שאתה נכשלת",בושה וחרפה זו מפלגה שפוגעת במדינת ישראל השם כחול לבן לא מתאים לה ירוק של חמאס יותר מתאים להם אין גבול משחקים בבריאות הציבור דנץ לל הביתה לא צריך להרוס הכל סגלל שאתה נכשלת,0
2529,NOT,,,,"@Ke1T7G0PhkH5YEZ @yoavr לכן אמרתי: לא חושב שיהיה כאן הסכם כ""כ מהר. כנראה לא בימינו, וגם עם טראמפ אי-אפשר היה לקדם את זה. לגבי י-ם היא כבר מחולקת דה-פקטו והתעמולה של ביבי ש""פרס יחלק את י-ם"" היתה שקרית. יש בה חלק מוסלמי מובהק. י-ם לא מאוחדת, אתה יודע כמוני.",לכן אמרתי לא חושב שיהיה כאן הסכם ככ מהר כנראה לא בימינו וגם עם טראמפ איאפשר היה לקדם את זה לגבי ים היא כבר מחולקת דהפקטו והתעמולה של ביבי שפרס יחלק את ים היתה שקרית יש בה חלק מוסלמי מובהק ים לא מאוחדת אתה יודע כמוני,0
2530,NOT,,,,"""היום הסורים הולכים ללמוד שהיד שמנענעת את העריסה יודעת גם קראטה"" מל גיבסון, הכשרת נהגים רכבת ישראל, סופר יודה סניף וינה גלאט כשר, 1966",היום הסורים הולכים ללמוד שהיד שמנענעת את העריסה יודעת גם קראטה מל גיבסון הכשרת נהגים רכבת ישראל סופר יודה סניף וינה גלאט כשר,0
2531,NOT,,,,"RT @Eli_Yishai: יש לי שאלה: עכשיו כשחובש כיפה רצח ילד קטן, איך נוכל להבדיל בין הטובים לבין הרעים?",יש לי שאלה עכשיו כשחובש כיפה רצח ילד קטן איך נוכל להבדיל בין הטובים לבין הרעים,0
2533,NOT,,,,"@ron_zadok @Onetruth011 @ErelSegal לגיטימי. אבל לא יודע איך אמירה ""השאלה הזאת מגיע כי אתה עם כיפה"" יכולה איכשהו לצטייר יפה יותר... ועוד לקבוע שגלעד הוא מלח הארץ לעומת אליהו שהוא בסה""כ מתנחל מאיתמר - לא יודע, אשמח להודות שאני טועה - אבל לא רואה איך זה יכול להצטייר יפה יותר...",לגיטימי אבל לא יודע איך אמירה השאלה הזאת מגיע כי אתה עם כיפה יכולה איכשהו לצטייר יפה יותר ועוד לקבוע שגלעד הוא מלח הארץ לעומת אליהו שהוא בסהכ מתנחל מאיתמר לא יודע אשמח להודות שאני טועה אבל לא רואה איך זה יכול להצטייר יפה יותר,0
2534,NOT,,,,"@nachi_z9 אני לא מכירה מספיק שמות, אבל חייבים נציג ערבי מוסלמי, נציג דרוזי (לא, לא איוב קרא) ונציג ערבי נוצרי!",אני לא מכירה מספיק שמות אבל חייבים נציג ערבי מוסלמי נציג דרוזי לא לא איוב קרא ונציג ערבי נוצרי,0
2535,hate,Palestine,racism ,פלסטינים,@rtvslo תעמולת שווא סלובנית אנטישמית. השירות הציבורי הסלובני RTV מלא שנאה כלפי ישראל. אוהדי חמאס פלסטינים,תעמולת שווא סלובנית אנטישמית השירות הציבורי הסלובני מלא שנאה כלפי ישראל אוהדי חמאס פלסטינים,1
2536,hate,palestine,racism ,פלסטינים,RT @BayernMako: @rtvslo תעמולת שווא סלובנית אנטישמית. השירות הציבורי הסלובני RTV מלא שנאה כלפי ישראל. אוהדי חמאס פלסטינים,תעמולת שווא סלובנית אנטישמית השירות הציבורי הסלובני מלא שנאה כלפי ישראל אוהדי חמאס פלסטינים,1
2537,violence,hamas,violence,אחסל,@Roadrun86259229 @hagarsi @DaphnaLiel כמןבן זה לא אותו דבר תמיד. אני אחסל את חמאס . אבל זה לא אותו דבר,כמןבן זה לא אותו דבר תמיד אני אחסל את חמאס אבל זה לא אותו דבר,1
2538,NOT,,,,@Omrygo מגניב רצח,מגניב רצח,0
2539,NOT,,,,לחובבי הצ'יזבטים - נסראללה מספר שאסד הסכים לפני המשבר בסוריה להעביר טילי קורנט שקנה מרוסיה לרצועת עזה וזאת בעידוד קאסם סולימאני וחיזבאללה וכו' שהעבירו את הטילים. מחמם אטריות ישנות כדי להראות כמה אסד סייע לפלגים בעזה וכו' #מרגש,לחובבי הציזבטים נסראללה מספר שאסד הסכים לפני המשבר בסוריה להעביר טילי קורנט שקנה מרוסיה לרצועת עזה וזאת בעידוד קאסם סולימאני וחיזבאללה וכו שהעבירו את הטילים מחמם אטריות ישנות כדי להראות כמה אסד סייע לפלגים בעזה וכו,0
2540,NOT,,,,הרשות הפלסטינית סיכלה פיגוע דקירה נגד חיילים https://t.co/pmSyIXhYuK,הרשות הפלסטינית סיכלה פיגוע דקירה נגד חיילים,0
2541,NOT,,,,RT @RotterNet: הרשות הפלסטינית סיכלה פיגוע דקירה נגד חיילים https://t.co/pmSyIXhYuK,הרשות הפלסטינית סיכלה פיגוע דקירה נגד חיילים,0
2542,NOT,,,,"פרסום ראשון: פיגוע הדקירה שסיכלה הרשות הפלסטינית - והפגישה החשאית של ראש השב""כ עם אבו מאזן ברמאללה @galberger #חדשותהערב https://t.co/uUJ0MI9zM9",פרסום ראשון פיגוע הדקירה שסיכלה הרשות הפלסטינית והפגישה החשאית של ראש השבכ עם אבו מאזן ברמאללה,0
2543,NOT,,,,"RT @kann_news: פרסום ראשון: פיגוע הדקירה שסיכלה הרשות הפלסטינית - והפגישה החשאית של ראש השב""כ עם אבו מאזן ברמאללה @galberger #חדשותהערב ht…",פרסום ראשון פיגוע הדקירה שסיכלה הרשות הפלסטינית והפגישה החשאית של ראש השבכ עם אבו מאזן ברמאללה,0
2544,NOT,,,,💬לאור חידוש התיאום הביטחוני עם ישראל לפני כחודש: מנגנוני הביטחון הפלסטיניים עצרו שלשום 2 פלסטיניות משכם בדרכן לבצע פיגוע דקירה באזור חווארה שמדרום לשכם. כעת הן במעצר ברשות הפלסטינית,לאור חידוש התיאום הביטחוני עם ישראל לפני כחודש מנגנוני הביטחון הפלסטיניים עצרו שלשום פלסטיניות משכם בדרכן לבצע פיגוע דקירה באזור חווארה שמדרום לשכם כעת הן במעצר ברשות הפלסטינית,0
2545,NOT,,,,@maayanef איזה פיגוע בנאשוויל 😱,איזה פיגוע בנאשוויל,0
2546,NOT,,,,@MeravMichaeli הקשר בין מרכסיזם אנטישמי פמונאצי לדמוקרטיה אינו קיים,הקשר בין מרכסיזם אנטישמי פמונאצי לדמוקרטיה אינו קיים,0
2547,NOT,,,,@maayanef טירוף. מעניין אם אברי גלעד כבר טען שזה מוסלמי ולא אומרים.,טירוף מעניין אם אברי גלעד כבר טען שזה מוסלמי ולא אומרים,0
2548,hate,arabian leaders,politics,עזה,RT @kaisos1987: לחובבי הצ'יזבטים - נסראללה מספר שאסד הסכים לפני המשבר בסוריה להעביר טילי קורנט שקנה מרוסיה לרצועת עזה וזאת בעידוד קאסם סולי…,לחובבי הציזבטים נסראללה מספר שאסד הסכים לפני המשבר בסוריה להעביר טילי קורנט שקנה מרוסיה לרצועת עזה וזאת בעידוד קאסם סולי,1
2549,NOT,,,,זה סגר כמו שאני ערבי https://t.co/cMIckDNZFH,זה סגר כמו שאני ערבי,0
2550,NOT,,,,"RT @amirbohbot: הפיתוחים החדשים שישמשו את צה""ל נגד ארגוני הטרור: בעוד ארגונים כמו חמאס וחיזבאללה שכללו את יכולותיהם בעזרת מערכות שהגיעו לשו…",הפיתוחים החדשים שישמשו את צהל נגד ארגוני הטרור בעוד ארגונים כמו חמאס וחיזבאללה שכללו את יכולותיהם בעזרת מערכות שהגיעו לשו,0
2551,NOT,,,,@90FINELINE אז לאדעת טוויטר אנטישמי כרגיל,אז לאדעת טוויטר אנטישמי כרגיל,0
2552,NOT,,,,RT @gabigr007: @AShwartzman @kaisos1987 @tommybor @or_shwartzman מעניין אם ביידן יהיה נכלולי ומסוכן כמו אובמה שהינו תומך טרור מס 1 https://…,מעניין אם ביידן יהיה נכלולי ומסוכן כמו אובמה שהינו תומך טרור מס,0
2553,hate,leftist polotician,politics,טרור,"@idanlandau אתה מראה כאן משפחה ערבייה שהותקפה אבל בו זמנית אתה קורא ליוסף חדאד, ערבי ישראל ציוני, שהוא ערבי מחמד.... קצת צבוע , לא חושב ?! פתאום הפרצוף של תומכי הטרור כמוך מתגלה. כל הצבעים האמיתיים שלכם נחשפים! מילה אחת לא ראיתי אותך אומר נגד רצח האם לשישה ילדים לפני כמה ימים!חתיכת טרוריסט!",אתה מראה כאן משפחה ערבייה שהותקפה אבל בו זמנית אתה קורא ליוסף חדאד ערבי ישראל ציוני שהוא ערבי מחמד קצת צבוע לא חושב פתאום הפרצוף של תומכי הטרור כמוך מתגלה כל הצבעים האמיתיים שלכם נחשפים מילה אחת לא ראיתי אותך אומר נגד רצח האם לשישה ילדים לפני כמה ימיםחתיכת טרוריסט,1
2554,NOT,,,,"@ehudweissman @hagarsi @DaphnaLiel נתניהו לא אמר שהוא יחסל את החמאס, הוא אמר שהוא ימוטט את שלטון חמאס. יש הבדל מהותי. אני מבין שציפית כמו רוב העם לדם ואש ותמרות עשן. אבל הוא עובד בצורה יותר אלגנטית, עם סנקציות כלכליות, חנק דיפלומטי, ושלילת הלגיטימיות של חמאס גם בעולם הערבי. זה לוקח יותר זמן, אבל זה יותר אפקטיבי.",נתניהו לא אמר שהוא יחסל את החמאס הוא אמר שהוא ימוטט את שלטון חמאס יש הבדל מהותי אני מבין שציפית כמו רוב העם לדם ואש ותמרות עשן אבל הוא עובד בצורה יותר אלגנטית עם סנקציות כלכליות חנק דיפלומטי ושלילת הלגיטימיות של חמאס גם בעולם הערבי זה לוקח יותר זמן אבל זה יותר אפקטיבי,0
2555,NOT,,,,@yoosiiiiii @iairLevy החדש לא על הצואר. על הראש. למות הוא לא ימות.,החדש לא על הצואר על הראש למות הוא לא ימות,0
2556,NOT,,,,@ItayBlumental @ynetalerts כל עוד זה הדתיים יש להן לגיטימציה . אבל אם זה היה חס וחלילה 0מאלני או ערבי יאאאא ווראדי מה היה הולך פה,כל עוד זה הדתיים יש להן לגיטימציה אבל אם זה היה חס וחלילה מאלני או ערבי יאאאא ווראדי מה היה הולך פה,0
2557,NOT,,,,"@Ayelet__Shaked איילת שקד שהיתה שרת משפטים והגאה בהישיגם להגדיר כאבן הורגת וזריקת אבנים היא טרור,באה לתמוך במשפחות ולהגן על זורקי אבנים כאילו שהקורבאן ערבי זה לא נחשב כטרור יכול להיות שילדים שיחקו באבנים למחקר מדעי.צבועה",איילת שקד שהיתה שרת משפטים והגאה בהישיגם להגדיר כאבן הורגת וזריקת אבנים היא טרורבאה לתמוך במשפחות ולהגן על זורקי אבנים כאילו שהקורבאן ערבי זה לא נחשב כטרור יכול להיות שילדים שיחקו באבנים למחקר מדעיצבועה,0
2558,NOT,,,,"מרק הריסה (פלפלים אדומים חריפים-חמוצים) עם חומוס ופלפלים חריפים, מאלג'יריה, לימי החורף הקרים 🇩🇿😋🥣 https://t.co/BPbp0DLPuJ",מרק הריסה פלפלים אדומים חריפיםחמוצים עם חומוס ופלפלים חריפים מאלגיריה לימי החורף הקרים,0
2559,NOT,,,,@Mayatommo_ אולי פחות כדאי היו עושים לך רצח אופי,אולי פחות כדאי היו עושים לך רצח אופי,0
2561,NOT,,,,"@Bicherit @GalonItay זה בעיקרון נכון. אבל מתנחלים (ואתיופים) נמצאים קרוב קרוב לאי ליסט, כשרחוק מתחת נמצאים ערבים ישראלים (או פלסטינים ואפריקאים בלי אזרחות, אני לא יודע אם הם בכלל ברשימה) אז להזכיר את הנושא בהקשר של יהודי מתנחל שנהרג, זה לא מתאים.",זה בעיקרון נכון אבל מתנחלים ואתיופים נמצאים קרוב קרוב לאי ליסט כשרחוק מתחת נמצאים ערבים ישראלים או פלסטינים ואפריקאים בלי אזרחות אני לא יודע אם הם בכלל ברשימה אז להזכיר את הנושא בהקשר של יהודי מתנחל שנהרג זה לא מתאים,0
2562,NOT,,,,@YinonMagal @patriotim20 @YotYotam @YakiAdamker @urizaki @iditsilman כתוב לכם ״שידור חוזר״ מתחת ללוגו 20 מישהו שמה מחבל לכם. ?! https://t.co/CHT0ixzkVE,כתוב לכם ״שידור חוזר״ מתחת ללוגו מישהו שמה מחבל לכם,0
2563,NOT,,,,RT @carmeldangor: ארבעת יושבי הרכב שבו נסע אהוביה סנדק נחקרו היום למעלה משמונה שעות במשטרה. שניים מהם שוחררו כבר בשישי. הם חשודים ביידוי א…,ארבעת יושבי הרכב שבו נסע אהוביה סנדק נחקרו היום למעלה משמונה שעות במשטרה שניים מהם שוחררו כבר בשישי הם חשודים ביידוי א,0
2564,NOT,,,,@matt_real1 @orsorek @RSBJ_7 @Aviohayon11 ימח שמו איך הביא אותה לחיבור בגמר,ימח שמו איך הביא אותה לחיבור בגמר,0
2565,NOT,,,,"@Ayelet__Shaked לא הבנתי, העברת חוק שקובע שמחבל שזורק אבנים נכנס 20 שנה לכלא,את תומכת ברצח ילדים פלסטינים על ידי צה""ל בגלל שהם זרקו אבן. אז מה פתאום עכשיו את הולכת לביקור תנחומים? שאת מבקשת לראות את הילד ואת האהבה שלו לארץ ישראל? זה נכון גם גם לילדים פלסטינים שאותם חיילי צהל צריכים להמשיך לרצוח?",לא הבנתי העברת חוק שקובע שמחבל שזורק אבנים נכנס שנה לכלאאת תומכת ברצח ילדים פלסטינים על ידי צהל בגלל שהם זרקו אבן אז מה פתאום עכשיו את הולכת לביקור תנחומים שאת מבקשת לראות את הילד ואת האהבה שלו לארץ ישראל זה נכון גם גם לילדים פלסטינים שאותם חיילי צהל צריכים להמשיך לרצוח,0
2566,NOT,ISA,terrorism,פיגיוע,"זה נראה כאילו ראש השב""כ תכנן פיגוע דקירה, ואבו מאזן שכנע אותו לא לעשות את זה. https://t.co/TaeT3QH1QD",זה נראה כאילו ראש השבכ תכנן פיגוע דקירה ואבו מאזן שכנע אותו לא לעשות את זה,0
2567,NOT,announcer,sport,כדורגל,"אלון חרזי בא לי טוב רצח, הוא לא גאון כדורגל ולא תשמע ממנו תובנות טקטיות מעניינות או ניתוחים שנונים אבל הוא רגוע, לא מזיין את המוח, לא מדבר כשלא צריך, לא בוכה ולא חופר, לס איז מור במקרה הזה.",אלון חרזי בא לי טוב רצח הוא לא גאון כדורגל ולא תשמע ממנו תובנות טקטיות מעניינות או ניתוחים שנונים אבל הוא רגוע לא מזיין את המוח לא מדבר כשלא צריך לא בוכה ולא חופר לס איז מור במקרה הזה,0
2568,hate,law system,violence,בגץ,@aviadglickman @rothmar נו לא ברור ! מתי הם מקבלים עתירה מימין !! ימח שמם שונאי יהודים !! משתין על בגץ ועליך !!,נו לא ברור מתי הם מקבלים עתירה מימין ימח שמם שונאי יהודים משתין על בגץ ועליך,1
2569,NOT,,,,"לדעתי סער ואילנה... נכנסו לאותה המיטה.. רק בשביל שוב לשקר ולהנדס את הבוחר. רר לא ביבי. לשקר אין רגליים...עובדה חייבת להחשיך. בעידן זה פוסט אמת ופייק ניוז הם טרור ,ולוחמה ביולוגית לכל דבר . סכנה ברורה ומיידית. https://t.co/qzqdBUThIi",לדעתי סער ואילנה נכנסו לאותה המיטה רק בשביל שוב לשקר ולהנדס את הבוחר רר לא ביבי לשקר אין רגלייםעובדה חייבת להחשיך בעידן זה פוסט אמת ופייק ניוז הם טרור ולוחמה ביולוגית לכל דבר סכנה ברורה ומיידית,0
2570,NOT,,,,"RT @tsahi8: @michael_dvorin פשיזם, תתרגל, אתה לא יריב פוליטי, אתה אויב המשטר, עכשיו דמיין איך יראו החיים שלך אם הם ינצחו בבחירות. רק ליכוד…",פשיזם תתרגל אתה לא יריב פוליטי אתה אויב המשטר עכשיו דמיין איך יראו החיים שלך אם הם ינצחו בבחירות רק ליכוד,0
